対象断面,策定年度／年月,策定／更新後,連系線,年月日,昼／夜,方向,空容量最小,空容量最大,計画潮流,マージンA最大,マージンA最小,マージンB,運用容量,運用容量決定要因,運用容量拡大分空容量,運用容量拡大分運用容量,送電NG情報件数,送電NG情報延べ容量,最新更新年月日時刻
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/01,昼間帯,順方向,678,-,0,222,-,0,900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/01,昼間帯,逆方向,-368,-,0,-532,-,0,-900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/01,夜間帯,順方向,728,-,0,172,-,0,900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/01,夜間帯,逆方向,-398,-,0,-502,-,0,-900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/02,昼間帯,順方向,678,-,0,222,-,0,900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/02,昼間帯,逆方向,-368,-,0,-532,-,0,-900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/02,夜間帯,順方向,728,-,0,172,-,0,900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/02,夜間帯,逆方向,-398,-,0,-502,-,0,-900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/03,昼間帯,順方向,728,-,0,172,-,0,900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/03,昼間帯,逆方向,-398,-,0,-502,-,0,-900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/03,夜間帯,順方向,748,-,0,152,-,0,900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/03,夜間帯,逆方向,-398,-,0,-502,-,0,-900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/04,昼間帯,順方向,728,-,0,172,-,0,900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/04,昼間帯,逆方向,-398,-,0,-502,-,0,-900,熱容量,0,0,0,0,2019/12/20 17:00:07
月間,201912,更新後,北海道・本州間電力連系設備,2020/02/04,夜間帯,順方向,748,-,0,152,-,0,900,熱容量,0,0,0,0,2019/12/20 17:00:07
