対象断面,策定年度／年月,策定／更新後,連系線,年月日,昼／夜,方向,空容量最小,空容量最大,計画潮流,マージンA最大,マージンA最小,マージンB,運用容量,運用容量決定要因,運用容量拡大分空容量,運用容量拡大分運用容量,送電NG情報件数,送電NG情報延べ容量,最新更新年月日時刻
月間,202003,策定,北海道・本州間電力連系設備,2020/05/01,昼間帯,順方向,558.0,558.0,0,42,42,0.0,600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202003,策定,北海道・本州間電力連系設備,2020/05/01,昼間帯,逆方向,-108.0,-108.0,0,-492,-492,0.0,-600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202003,策定,北海道・本州間電力連系設備,2020/05/01,夜間帯,順方向,558.0,558.0,0,42,42,0.0,600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202003,策定,北海道・本州間電力連系設備,2020/05/01,夜間帯,逆方向,-108.0,-108.0,0,-492,-492,0.0,-600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202003,策定,北海道・本州間電力連系設備,2020/05/02,昼間帯,順方向,558.0,558.0,0,42,42,0.0,600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202003,策定,北海道・本州間電力連系設備,2020/05/02,昼間帯,逆方向,-108.0,-108.0,0,-492,-492,0.0,-600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202003,策定,北海道・本州間電力連系設備,2020/05/02,夜間帯,順方向,558.0,558.0,0,42,42,0.0,600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202003,策定,北海道・本州間電力連系設備,2020/05/02,夜間帯,逆方向,-108.0,-108.0,0,-492,-492,0.0,-600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202004,策定,北海道・本州間電力連系設備,2020/05/02,昼間帯,順方向,558.0,558.0,0,42,42,0.0,600,熱容量（作業）,0,0,0,0,2020/04/20 19:45:06
月間,202004,策定,北海道・本州間電力連系設備,2020/05/02,昼間帯,逆方向,-108.0,-108.0,0,-492,-492,0.0,-600,熱容量（作業）,0,0,0,0,2020/04/20 19:45:06
月間,202004,策定,北海道・本州間電力連系設備,2020/05/02,夜間帯,順方向,558.0,558.0,0,42,42,0.0,600,熱容量（作業）,0,0,0,0,2020/04/20 19:45:06
月間,202004,策定,北海道・本州間電力連系設備,2020/05/02,夜間帯,逆方向,-108.0,-108.0,0,-492,-492,0.0,-600,熱容量（作業）,0,0,0,0,2020/04/20 19:45:06
月間,202003,策定,北海道・本州間電力連系設備,2020/05/03,昼間帯,順方向,558.0,558.0,0,42,42,0.0,600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202003,策定,北海道・本州間電力連系設備,2020/05/03,昼間帯,逆方向,-108.0,-108.0,0,-492,-492,0.0,-600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202003,策定,北海道・本州間電力連系設備,2020/05/03,夜間帯,順方向,558.0,558.0,0,42,42,0.0,600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202003,策定,北海道・本州間電力連系設備,2020/05/03,夜間帯,逆方向,-108.0,-108.0,0,-492,-492,0.0,-600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202004,策定,北海道・本州間電力連系設備,2020/05/03,昼間帯,順方向,558.0,558.0,0,42,42,0.0,600,熱容量（作業）,0,0,0,0,2020/04/20 19:45:06
月間,202004,策定,北海道・本州間電力連系設備,2020/05/03,昼間帯,逆方向,-108.0,-108.0,0,-492,-492,0.0,-600,熱容量（作業）,0,0,0,0,2020/04/20 19:45:06
月間,202004,策定,北海道・本州間電力連系設備,2020/05/03,夜間帯,順方向,558.0,558.0,0,42,42,0.0,600,熱容量（作業）,0,0,0,0,2020/04/20 19:45:06
月間,202004,策定,北海道・本州間電力連系設備,2020/05/03,夜間帯,逆方向,-108.0,-108.0,0,-492,-492,0.0,-600,熱容量（作業）,0,0,0,0,2020/04/20 19:45:06
月間,202003,策定,北海道・本州間電力連系設備,2020/05/04,昼間帯,順方向,558.0,558.0,0,42,42,0.0,600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202003,策定,北海道・本州間電力連系設備,2020/05/04,昼間帯,逆方向,-108.0,-108.0,0,-492,-492,0.0,-600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
月間,202003,策定,北海道・本州間電力連系設備,2020/05/04,夜間帯,順方向,558.0,558.0,0,42,42,0.0,600,熱容量（作業）,0,0,0,0,2020/03/19 17:15:04
